link,views,likes
https://ted.com/talks/ozawa_bineshi_albert_climate_action_needs_new_frontline_leadership,404000,12000
https://ted.com/talks/sydney_iaukea_the_dark_history_of_the_overthrow_of_hawaii,214000,6400
https://ted.com/talks/martin_reeves_how_play_can_spark_new_ideas_for_your_business,412000,12000
https://ted.com/talks/james_k_thornton_why_is_china_appointing_judges_to_combat_climate_change,427000,12000
https://ted.com/talks/mahendra_singhi_cement_s_carbon_problem_and_2_ways_to_fix_it,2400,72
https://ted.com/talks/rosamund_adoo_kissi_debrah_the_tragedy_of_air_pollution_and_an_urgent_demand_for_clean_air,422000,12000
https://ted.com/talks/iseult_gillespie_the_myth_of_narcissus_and_echo,412000,12000
https://ted.com/talks/gay_gordon_byrne_you_deserve_the_right_to_repair_your_stuff,455000,13000
https://ted.com/talks/erin_meezan_what_nature_can_teach_us_about_sustainable_business,66000,1900
https://ted.com/talks/dwan_reece_the_origins_of_blackface_and_black_stereotypes,584000,17000
https://ted.com/talks/ian_kerner_a_sex_therapist_s_secret_to_rediscovering_your_spark,87000,2600
https://ted.com/talks/richard_browning_how_do_jetpacks_work_and_why_don_t_we_all_have_them,213000,6400
https://ted.com/talks/daniel_h_pink_what_regret_can_teach_you_about_living_a_good_life,622000,18000
https://ted.com/talks/lucas_joppa_how_to_fix_the_bugs_in_the_net_zero_code,526000,15000
https://ted.com/talks/belle_and_sebastian_big_yellow_taxi_song_for_sunshine,23000,690
https://ted.com/talks/mounia_akl_how_film_captures_the_space_between_hope_and_despair,628000,18000
https://ted.com/talks/yana_buhrer_tavanier_what_is_normal_and_what_is_different,459000,13000
https://ted.com/talks/susan_ruffo_the_ocean_s_ingenious_climate_solutions,522000,15000
https://ted.com/talks/tim_dunn_how_we_re_reducing_the_climate_impact_of_electronics,96000,2900
https://ted.com/talks/let_it_happen_a_vibrant_dance_performance_of_funk_classics,4500,135
https://ted.com/talks/dave_matthews_dive_in,1600,49
https://ted.com/talks/zoe_karl_waithaka_got_millet_how_marketing_could_improve_the_lives_of_african_farmers,667000,20000
https://ted.com/talks/dan_kwartler_the_myth_of_gawain_and_the_green_knight,456000,13000
https://ted.com/talks/dan_jorgensen_how_wind_energy_could_power_earth_18_times_over,632000,18000
https://ted.com/talks/lei_li_the_incredible_cancer_detecting_potential_of_photoacoustic_imaging,97000,2900
https://ted.com/talks/nick_turner_and_whitney_pennington_rodgers_how_to_fix_two_of_the_most_broken_systems_in_the_us,609000,18000
https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_divided_a_nation,363000,10000
https://ted.com/talks/kaz_sex_education_should_start_with_consent,649000,19000
https://ted.com/talks/katie_mcginty_smart_solutions_to_decarbonize_buildings,134000,4000
https://ted.com/talks/rachel_kyte_how_to_provide_cooling_for_everyone_without_warming_the_planet,613000,18000
https://ted.com/talks/katie_paterson_the_mind_bending_art_of_deep_time,817000,24000
https://ted.com/talks/emily_zobel_marshall_the_myth_of_anansi_the_trickster_spider,411000,12000
https://ted.com/talks/deval_patrick_a_different_understanding_of_american_patriotism,700000,21000
https://ted.com/talks/rha_goddess_and_deepa_purushothaman_4_ways_to_redefine_power_at_work_to_include_women_of_color,678000,20000
https://ted.com/talks/zac_goldsmith_how_to_boost_nature_based_solutions_to_climate_change,30000,913
https://ted.com/talks/thomas_w_cronin_which_animal_has_the_best_eyesight,743000,22000
https://ted.com/talks/gala_marija_vrbanic_the_new_reality_of_fashion_is_digital,669000,20000
https://ted.com/talks/li_huei_tsai_are_brain_waves_the_secret_to_treating_alzheimer_s,766000,23000
https://ted.com/talks/emily_pilloton_lam_what_if_women_built_the_world_they_want_to_see,789000,23000
https://ted.com/talks/dustin_burke_how_to_fix_broken_supply_chains,800000,24000
https://ted.com/talks/marie_brodsky_can_you_solve_the_birthday_cake_riddle,601000,18000
https://ted.com/talks/gabrielle_walker_what_you_need_to_know_about_carbon_removal,732000,21000
https://ted.com/talks/reuben_jonathan_miller_how_radical_hospitality_can_change_the_lives_of_the_formerly_incarcerated,751000,22000
https://ted.com/talks/iseult_gillespie_the_tragic_myth_of_the_sun_god_s_son,998000,29000
https://ted.com/talks/carlos_m_duarte_the_unexpected_underwater_plant_fighting_climate_change,786000,23000
https://ted.com/talks/candace_parker_how_to_break_down_barriers_and_not_accept_limits,1000000,32000
https://ted.com/talks/jenny_scheinman_with_nels_cline_and_todd_sickafoose_a_ride_with_polly_jean_ali_farka_touche,20000,606
https://ted.com/talks/emma_bryce_why_do_cats_have_vertical_pupils,2300000,70000
https://ted.com/talks/jennifer_aaker_and_naomi_bagdonas_why_great_leaders_take_humor_seriously,1000000,32000
https://ted.com/talks/american_family_insurance_one_company_at_a_time,10000,312
